"Arn","AttachmentCount","CreateDate","DefaultVersionId","Description","IsAttachable","Path","PermissionsBoundaryUsageCount","PolicyId","PolicyName","UpdateDate"
"arn:aws:iam::aws:policy/AWSCodeStarFullAccess","0","4/19/17 11:23:19 AM","v2",,"True","/","0","ANPAIXI233TFUGLZOJBEC","AWSCodeStarFullAccess","1/10/18 3:54:06 PM"
"arn:aws:iam::aws:policy/aws-service-role/AmazonSSMServiceRolePolicy","0","11/13/17 1:20:08 PM","v3",,"True","/aws-service-role/","0","ANPAIXJ26NUGBA3TCV7EC","AmazonSSMServiceRolePolicy","7/25/18 5:14:20 PM"
"arn:aws:iam::aws:policy/AWSDataPipeline_FullAccess","0","1/19/17 5:14:54 PM","v2",,"True","/","0","ANPAIXOFIG7RSBMRPHXJ4","AWSDataPipeline_FullAccess","8/17/17 1:48:39 PM"
"arn:aws:iam::aws:policy/NeptuneFullAccess","0","5/30/18 2:17:31 PM","v3",,"True","/","0","ANPAIXSDEYRCNJRC6ITFK","NeptuneFullAccess","11/6/18 3:21:19 PM"
"arn:aws:iam::aws:policy/AmazonSSMManagedInstanceCore","0","3/15/19 12:22:12 PM","v1",,"True","/","0","ANPAIXSHM2BNB2D3AXXRU","AmazonSSMManagedInstanceCore","3/15/19 12:22:12 PM"
"arn:aws:iam::aws:policy/aws-service-role/TagGovernancePolicy","0","8/24/18 2:22:44 PM","v1",,"True","/aws-service-role/","0","ANPAIXTWESBJAQILG6NY4","TagGovernancePolicy","8/24/18 2:22:44 PM"
"arn:aws:iam::aws:policy/aws-service-role/AWSAutoScalingPlansEC2AutoScalingPolicy","0","8/23/18 5:46:59 PM","v1",,"True","/aws-service-role/","0","ANPAIXWLPZPD4RYBM3JSU","AWSAutoScalingPlansEC2AutoScalingPolicy","8/23/18 5:46:59 PM"
"arn:aws:iam::aws:policy/AmazonDynamoDBReadOnlyAccess","0","2/6/15 12:40:12 PM","v7",,"True","/","0","ANPAIY2XFNA232XJ6J7X2","AmazonDynamoDBReadOnlyAccess","1/9/18 1:46:57 PM"
"arn:aws:iam::aws:policy/AutoScalingConsoleFullAccess","0","1/12/17 1:43:16 PM","v2",,"True","/","0","ANPAIYEN6FJGYYWJFFCZW","AutoScalingConsoleFullAccess","2/6/18 5:15:36 PM"
"arn:aws:iam::aws:policy/AWSElementalMediaPackageFullAccess","0","12/29/17 5:39:52 PM","v1",,"True","/","0","ANPAIYI6IYR3JRFAVNQHC","AWSElementalMediaPackageFullAccess","12/29/17 5:39:52 PM"
"arn:aws:iam::aws:policy/AmazonKinesisVideoStreamsFullAccess","0","12/1/17 5:27:18 PM","v1",,"True","/","0","ANPAIZAN5AK7E7UVYIAZY","AmazonKinesisVideoStreamsFullAccess","12/1/17 5:27:18 PM"
"arn:aws:iam::aws:policy/AmazonSNSReadOnlyAccess","0","2/6/15 12:41:06 PM","v1",,"True","/","0","ANPAIZGQCQTFOFPMHSB6W","AmazonSNSReadOnlyAccess","2/6/15 12:41:06 PM"
"arn:aws:iam::aws:policy/aws-service-role/AmazonRDSPreviewServiceRolePolicy","0","5/31/18 1:02:00 PM","v1",,"True","/aws-service-role/","0","ANPAIZHJJBU3675JOUEMQ","AmazonRDSPreviewServiceRolePolicy","5/31/18 1:02:00 PM"
"arn:aws:iam::aws:policy/aws-service-role/AWSEC2SpotServiceRolePolicy","0","9/18/17 1:51:54 PM","v4",,"True","/aws-service-role/","0","ANPAIZJJBQNXQYVKTEXGM","AWSEC2SpotServiceRolePolicy","12/11/18 6:13:51 PM"
"arn:aws:iam::aws:policy/AmazonElasticMapReduceFullAccess","0","2/6/15 12:40:22 PM","v6",,"True","/","0","ANPAIZP5JFP3AMSGINBB2","AmazonElasticMapReduceFullAccess","1/23/18 1:40:00 PM"
"arn:aws:iam::aws:policy/AWSCloudMapFullAccess","0","11/28/18 5:57:31 PM","v1",,"True","/","0","ANPAIZPIMAQZJS3WUXUJM","AWSCloudMapFullAccess","11/28/18 5:57:31 PM"
"arn:aws:iam::aws:policy/service-role/AWSDataLifecycleManagerServiceRole","0","7/6/18 2:34:16 PM","v1",,"True","/service-role/","0","ANPAIZRLOKFUFE7YXQOJS","AWSDataLifecycleManagerServiceRole","7/6/18 2:34:16 PM"
"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess","0","2/6/15 12:40:59 PM","v1",,"True","/","0","ANPAIZTJ4DXE7G6AGAE6M","AmazonS3ReadOnlyAccess","2/6/15 12:40:59 PM"
"arn:aws:iam::aws:policy/AWSElasticBeanstalkFullAccess","0","2/6/15 12:40:18 PM","v7",,"True","/","0","ANPAIZYX2YLLBW2LJVUFW","AWSElasticBeanstalkFullAccess","2/23/18 1:36:01 PM"
"arn:aws:iam::aws:policy/AmazonWorkSpacesAdmin","0","9/22/15 5:21:15 PM","v2",,"True","/","0","ANPAJ26AU6ATUQCT5KVJU","AmazonWorkSpacesAdmin","8/18/16 6:08:42 PM"
"arn:aws:iam::aws:policy/service-role/AWSCodeDeployRole","0","5/4/15 1:05:37 PM","v6",,"True","/service-role/","0","ANPAJ2NKMKD73QS5NBFLA","AWSCodeDeployRole","9/11/17 2:09:51 PM"
"arn:aws:iam::aws:policy/AmazonSESFullAccess","0","2/6/15 12:41:02 PM","v1",,"True","/","0","ANPAJ2P4NXCHAT7NDPNR4","AmazonSESFullAccess","2/6/15 12:41:02 PM"
"arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess","0","2/6/15 12:40:03 PM","v4",,"True","/","0","ANPAJ2YIYDYSNNEHK3VKW","CloudWatchLogsReadOnlyAccess","1/14/19 1:32:45 PM"
"arn:aws:iam::aws:policy/aws-service-role/AmazonRDSBetaServiceRolePolicy","0","5/2/18 2:41:04 PM","v3",,"True","/aws-service-role/","0","ANPAJ36CJAE6OYAR4YEK4","AmazonRDSBetaServiceRolePolicy","7/5/18 1:29:48 PM"
