"Name","SI","Handles","VM","WS","PM","NPM","Path","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessName","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","MainWindowHandle","MainWindowTitle","Responding","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","Site","Container"
"alsactl","905",,"5349376","1425408","0","0",,"System.Diagnostics.Process (systemd)",,"0.01",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","905","19",,"False","3/9/19 6:45:56 AM",,"905",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Idle","0","0","alsactl","15","905",,"System.Diagnostics.ProcessThreadCollection",,"5349376","5349376","False",,,,"1425408","1425408",,,"0","","True","00:00:00.0100000","00:00:00.0100000","00:00:00",,
"at-spi-bus-laun","2437",,"312107008","6574080","0","0",,"System.Diagnostics.Process (systemd)",,"0.01",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2437","0",,"False","3/9/19 6:45:59 AM",,"2437",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","at-spi-bus-laun","15","2437",,"System.Diagnostics.ProcessThreadCollection",,"312107008","312107008","False",,,,"6574080","6574080",,,"0","","True","00:00:00","00:00:00.0100000","00:00:00.0100000",,
"at-spi-bus-laun","3483","11","312127488","6787072","0","0","/usr/libexec/at-spi-bus-launcher","System.Diagnostics.Process (systemd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3483","0",,"False","3/9/19 6:46:13 AM",,"3483",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","at-spi-bus-laun","15","3483",,"System.Diagnostics.ProcessThreadCollection","11","312127488","312127488","False",,,,"6787072","6787072",,"System.Diagnostics.ProcessModule (at-spi-bus-launcher)","0","","True","00:00:00","00:00:00","00:00:00",,
"at-spi2-registr","2437",,"164270080","6766592","0","0",,"System.Diagnostics.Process (systemd)",,"0.01",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2468","0",,"False","3/9/19 6:45:59 AM",,"2468",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","at-spi2-registr","15","2437",,"System.Diagnostics.ProcessThreadCollection",,"164270080","164270080","False",,,,"6766592","6766592",,,"0","","True","00:00:00.0100000","00:00:00.0100000","00:00:00",,
"at-spi2-registr","3483","9","164270080","6766592","0","0","/usr/libexec/at-spi2-registryd","System.Diagnostics.Process (systemd)",,"11.26",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3493","0",,"False","3/9/19 6:46:13 AM",,"3493",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","at-spi2-registr","15","3483",,"System.Diagnostics.ProcessThreadCollection","9","164270080","164270080","False",,,,"6766592","6766592",,"System.Diagnostics.ProcessModule (at-spi2-registryd)","0","","True","00:00:05.0900000","00:00:11.2600000","00:00:06.1700000",,
"ata_sff","0",,"0","0","0","0",,"System.Diagnostics.Process (kthreadd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","42","-20",,"False","3/9/19 6:45:49 AM",,"42",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","RealTime","0","0","ata_sff","15","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","00:00:00","00:00:00","00:00:00",,
"atd","1462",,"3776512","2400256","0","0",,"System.Diagnostics.Process (systemd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1462","0",,"False","3/9/19 6:45:57 AM",,"1462",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","atd","15","1462",,"System.Diagnostics.ProcessThreadCollection",,"3776512","3776512","False",,,,"2400256","2400256",,,"0","","True","00:00:00","00:00:00","00:00:00",,
"auditd","880",,"18739200","1900544","0","0",,"System.Diagnostics.Process (systemd)",,"0.11",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","880","-4",,"False","3/9/19 6:45:56 AM",,"880",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","BelowNormal","0","0","auditd","15","880",,"System.Diagnostics.ProcessThreadCollection",,"18739200","18739200","False",,,,"1900544","1900544",,,"0","","True","00:00:00.0600000","00:00:00.1100000","00:00:00.0500000",,
"avahi-daemon","903",,"8212480","4714496","0","0",,"System.Diagnostics.Process (systemd)",,"0.75",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","903","0",,"False","3/9/19 6:45:56 AM",,"903",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","avahi-daemon","15","903",,"System.Diagnostics.ProcessThreadCollection",,"8212480","8212480","False",,,,"4714496","4714496",,,"0","","True","00:00:00.4300000","00:00:00.7500000","00:00:00.3200000",,
"avahi-daemon","903",,"8085504","421888","0","0",,"System.Diagnostics.Process (avahi-daemon)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1017","0",,"False","3/9/19 6:45:56 AM",,"1017",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","avahi-daemon","15","903",,"System.Diagnostics.ProcessThreadCollection",,"8085504","8085504","False",,,,"421888","421888",,,"0","","True","00:00:00","00:00:00","00:00:00",,
"bash","13244","72","223412224","5840896","0","0","/usr/bin/bash","System.Diagnostics.Process (code)",,"0.07",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","13244","0",,"False","3/14/19 7:00:42 PM",,"13244",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","bash","15","13244",,"System.Diagnostics.ProcessThreadCollection","72","223412224","223412224","False",,,,"5840896","5840896",,"System.Diagnostics.ProcessModule (bash)","0","","True","00:00:00.0300000","00:00:00.0700000","00:00:00.0400000",,
"bash","15362","4","223408128","5980160","0","0","/usr/bin/bash","System.Diagnostics.Process (gnome-terminal-)",,"0.11",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","15362","0",,"False","3/14/19 7:22:04 PM",,"15362",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","bash","15","15362",,"System.Diagnostics.ProcessThreadCollection","4","223408128","223408128","False",,,,"5980160","5980160",,"System.Diagnostics.ProcessModule (bash)","0","","True","00:00:00.0300000","00:00:00.1100000","00:00:00.0800000",,
"bash","16023","73","223277056","5763072","0","0","/usr/bin/bash","System.Diagnostics.Process (code)",,"0.05",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","16023","0",,"False","3/14/19 7:34:06 PM",,"16023",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","bash","15","16023",,"System.Diagnostics.ProcessThreadCollection","73","223277056","223277056","False",,,,"5763072","5763072",,"System.Diagnostics.ProcessModule (bash)","0","","True","00:00:00.0200000","00:00:00.0500000","00:00:00.0300000",,
"blueman-applet","3407","17","808660992","49950720","0","0","/usr/bin/python3.7","System.Diagnostics.Process (gnome-session-b)",,"1.84",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3773","0",,"False","3/9/19 6:46:16 AM",,"3773",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","blueman-applet","15","3407",,"System.Diagnostics.ProcessThreadCollection","17","808660992","808660992","False",,,,"49950720","49950720",,"System.Diagnostics.ProcessModule (python3.7)","0","","True","00:00:00.2800000","00:00:01.8400000","00:00:01.5600000",,
"blueman-tray","3407","13","498659328","44449792","0","0","/usr/bin/python3.7","System.Diagnostics.Process (systemd)",,"1.62",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3859","0",,"False","3/9/19 6:46:16 AM",,"3859",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","blueman-tray","15","3407",,"System.Diagnostics.ProcessThreadCollection","13","498659328","498659328","False",,,,"44449792","44449792",,"System.Diagnostics.ProcessModule (python3.7)","0","","True","00:00:00.1800000","00:00:01.6200000","00:00:01.4400000",,
"bluetoothd","973",,"11210752","6668288","0","0",,"System.Diagnostics.Process (systemd)",,"101.5",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","973","0",,"False","3/9/19 6:45:56 AM",,"973",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","bluetoothd","15","973",,"System.Diagnostics.ProcessThreadCollection",,"11210752","11210752","False",,,,"6668288","6668288",,,"0","","True","00:01:12.9300000","00:01:41.5000000","00:00:28.5700000",,
"boltd","3994",,"455839744","7315456","0","0",,"System.Diagnostics.Process (systemd)",,"0.24",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3994","0",,"False","3/9/19 6:46:18 AM",,"3994",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","boltd","15","3994",,"System.Diagnostics.ProcessThreadCollection",,"455839744","455839744","False",,,,"7315456","7315456",,,"0","","True","00:00:00.1200000","00:00:00.2400000","00:00:00.1200000",,
"cat","3407","8","220278784","782336","0","0","/usr/bin/cat","System.Diagnostics.Process (chrome)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1057","0",,"False","3/13/19 8:23:18 PM",,"1057",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","cat","15","3407",,"System.Diagnostics.ProcessThreadCollection","8","220278784","220278784","False",,,,"782336","782336",,"System.Diagnostics.ProcessModule (cat)","0","","True","00:00:00","00:00:00","00:00:00",,
"cat","3407","8","220278784","843776","0","0","/usr/bin/cat","System.Diagnostics.Process (chrome)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1058","0",,"False","3/13/19 8:23:18 PM",,"1058",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","cat","15","3407",,"System.Diagnostics.ProcessThreadCollection","8","220278784","220278784","False",,,,"843776","843776",,"System.Diagnostics.ProcessModule (cat)","0","","True","00:00:00","00:00:00","00:00:00",,
